POB_NOMBRE/String/set/size=100/set/order=20/set/label=Nombre;COD_PROVINCIA/Integer/set/order=30/set/label=Provincia/set/fk=true/set/fk_table=esp_provincias/set/fk_code=COD_PROVINCIA/set/fk_label=FORMAT('%02d - %s', COD_PROVINCIA, PRO_NAME)/set/foreingkey_closedlist=false/set/relation=1;COD_POBLACION/Integer/set/order=10/set/label=Poblacion;COD_ORIGENCOORDENADAS/Integer/set/order=40/set/label=Origen de las coordenadas/set/fk=true/set/fk_table=origen_coordenadas/set/fk_code=COD_ORIGENCOORDENADAS/set/fk_label=FORMAT('%02d - %s', COD_ORIGENCOORDENADAS, ORI_DESCRIPCION)/set/foreingkey_closedlist=true/set/relation=1;GEOMETRY/Geometry/set/srs=EPSG@4258/set/geomtype=Point@2D/set/order=60/set/hidden=true
"Alfaro";"26";"26011";"1";"POINT (-1.749283 42.17839836)"
"Almarza de Cameros";"26";"26012";"1";"POINT (-2.59784925 42.21595126)"
"Anguciana";"26";"26013";"1";"POINT (-2.90017001 42.57393008)"
"Anguiano";"26";"26014";"1";"POINT (-2.76414946 42.2613112)"
"Arenzana de Abajo";"26";"26015";"1";"POINT (-2.71945802 42.38657492)"
"Arenzana de Arriba";"26";"26016";"1";"POINT (-2.6949118 42.38786292)"
"Arnedillo";"26";"26017";"1";"POINT (-2.23509419 42.21176132)"
"Arnedo";"26";"26018";"1";"POINT (-2.0998398400000005 42.22815991)"
"Arrúbal";"26";"26019";"1";"POINT (-2.25177142 42.43517649)"
"Ausejo";"26";"26020";"1";"POINT (-2.16991898 42.34531809)"
"Autol";"26";"26021";"1";"POINT (-2.00730253 42.21379597)"
"Azofra";"26";"26022";"1";"POINT (-2.80046899 42.42321959)"
"Badarán";"26";"26023";"1";"POINT (-2.80826152 42.36744078)"
"Bañares";"26";"26024";"1";"POINT (-2.91080083 42.46888496)"
"Baños de Rioja";"26";"26025";"1";"POINT (-2.94579628 42.51222584)"
"Baños de Río Tobía";"26";"26026";"1";"POINT (-2.7589004 42.33384462)"
"Berceo";"26";"26027";"1";"POINT (-2.85284106 42.3382374)"
"Bergasa";"26";"26028";"1";"POINT (-2.13059007 42.25235383)"
"Bergasillas Bajera";"26";"26029";"1";"POINT (-2.15912165 42.24455146)"
"Bezares";"26";"26030";"1";"POINT (-2.67094855 42.37045993)"
"Bobadilla";"26";"26031";"1";"POINT (-2.76005581 42.31736592)"
"Brieva de Cameros";"26";"26032";"1";"POINT (-2.79459383 42.16486773)"
"Briñas";"26";"26033";"1";"POINT (-2.83222777 42.60073236)"
"Briones";"26";"26034";"1";"POINT (-2.7854336100000006 42.54319617)"
"Cabezón de Cameros";"26";"26035";"1";"POINT (-2.51973123 42.19628675)"
"Calahorra";"26";"26036";"1";"POINT (-1.9609740999999998 42.30155468)"
